time_bins,mean_CPU_usage_rate,canonical_memory_usage,assigned_memory_usage,unmapped_page_cache_memory_usage,total_page_cache_memory_usage,mean_disk_I/O_time,mean_local_disk_space_used,cycles_per_instruction,memory_accesses_per_instruction,sampled_CPU_usage,maximum_memory_usage,maximum_CPU_usage,maximum_disk_IO_time
1970-01-06 23:55:00,2662.1412605089845,2902.1289192057466,3619.5562943496907,318.0358274852142,897.0015454565882,319.5175607566247,11.500613304705766,661675.2260000058,2159.997701645945,1665.109219396992,0.7686,2.797,0.958
1970-01-07 00:00:00,2535.980472482044,2837.2795790781142,3557.1182361997644,318.35857746450733,879.9755308517871,326.3683269416052,11.603751463803231,607844.922000009,1973.268303589989,1555.992682871098,0.7686,2.27,0.8086
1970-01-07 00:05:00,2476.1186140650266,2667.3685914611233,3377.383667299621,308.6032346104048,824.559620577384,307.8768656051499,11.541596224402554,487675.0502999989,1638.51269517399,1507.8855289196783,0.7686,1.66,0.917
1970-01-07 00:10:00,2511.7501770380277,2663.8431047708664,3372.5895035256253,308.34501503841176,822.4111874387963,363.69022454555653,11.605230727303471,498427.5187999897,1679.180139173981,1506.624823209783,0.7686,1.859,0.7754
1970-01-07 00:15:00,2476.6664901260574,2655.391264500162,3361.9688476996494,307.3801621214126,822.1090561583733,366.4691999628781,11.56901956480398,503401.14940000273,1685.166395047001,1490.3716740330935,0.7686,2.945,0.7803
1970-01-07 00:20:00,2445.1978105026938,2645.5759678819645,3353.314616945673,309.5509797372107,824.6315428964726,333.31373071535705,11.588657077403596,500390.80489999935,1688.1530659139737,1466.3807493453955,0.7686,2.98,0.7725
1970-01-07 00:25:00,2621.740372085991,2668.1310255797757,3380.754164679718,313.1306714586051,828.4509919171892,282.1951501593139,11.603945011801905,502295.69607000134,1691.47062752001,1661.1752823556008,0.7686,2.863,0.7568
1970-01-07 00:30:00,2482.4223360157025,2672.453291154632,3387.1456334956993,311.23636788151407,825.8016036962729,323.6903930516163,11.590853813003855,504401.53089999524,1688.1051238649811,1466.4090520029822,0.7686,1.949,0.7832
1970-01-07 00:35:00,2609.7948166249726,2644.2313097450337,3361.9231688997343,309.97164339540564,825.3734845587763,348.07315699127554,11.553172106103586,531018.701099996,1805.6517142349858,1656.303600062526,0.7686,2.801,0.8418
1970-01-07 00:40:00,3303.124448694036,2689.1863232231353,3413.123304219766,308.735771004122,824.5683069497885,371.70930285195016,11.627616341702876,521818.1126999951,1741.3266105479725,2332.573911169502,0.7686,2.582,0.7295
